Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,48.0000mm,-30.0000mm,0.0,top
C2,100nF,C_0402_1005Metric,48.0000mm,-50.0000mm,0.0,top
C3,100nF,C_0402_1005Metric,48.0000mm,-70.0000mm,0.0,top
C4,100nF,C_0402_1005Metric,113.0000mm,-30.0000mm,0.0,top
C5,100nF,C_0402_1005Metric,113.0000mm,-50.0000mm,0.0,top
C6,10uF,C_0805_2012Metric,15.0000mm,-110.0000mm,0.0,top
J2,FROM_PROG,PinHeader_2x40_P2.54mm_Vertical,87.0000mm,-7.0000mm,0.0,top
R1,470R,R_0402_1005Metric,50.0000mm,-105.0000mm,90.0,top
R2,470R,R_0402_1005Metric,19.6900mm,-100.0000mm,90.0,top
R3,470R,R_0402_1005Metric,22.2300mm,-110.0000mm,90.0,top
R4,470R,R_0402_1005Metric,24.7700mm,-105.0000mm,90.0,top
R5,470R,R_0402_1005Metric,27.3100mm,-100.0000mm,90.0,top
R6,470R,R_0402_1005Metric,29.8500mm,-110.0000mm,90.0,top
R7,470R,R_0402_1005Metric,32.3900mm,-105.0000mm,90.0,top
R8,470R,R_0402_1005Metric,34.9300mm,-100.0000mm,90.0,top
R9,470R,R_0402_1005Metric,37.4700mm,-110.0000mm,90.0,top
R10,470R,R_0402_1005Metric,40.0100mm,-105.0000mm,90.0,top
R11,470R,R_0402_1005Metric,42.5500mm,-100.0000mm,90.0,top
R12,470R,R_0402_1005Metric,45.0900mm,-110.0000mm,90.0,top
R13,470R,R_0402_1005Metric,78.0000mm,-110.0000mm,90.0,top
R14,470R,R_0402_1005Metric,19.6900mm,-105.0000mm,90.0,top
R15,470R,R_0402_1005Metric,22.2300mm,-100.0000mm,90.0,top
R16,470R,R_0402_1005Metric,24.7700mm,-110.0000mm,90.0,top
R17,470R,R_0402_1005Metric,27.3100mm,-105.0000mm,90.0,top
R18,470R,R_0402_1005Metric,29.8500mm,-100.0000mm,90.0,top
R19,470R,R_0402_1005Metric,32.3900mm,-110.0000mm,90.0,top
R20,470R,R_0402_1005Metric,34.9300mm,-105.0000mm,90.0,top
R21,470R,R_0402_1005Metric,37.4700mm,-100.0000mm,90.0,top
R22,470R,R_0402_1005Metric,40.0100mm,-110.0000mm,90.0,top
R23,470R,R_0402_1005Metric,42.5500mm,-105.0000mm,90.0,top
R24,470R,R_0402_1005Metric,45.0900mm,-100.0000mm,90.0,top
R25,470R,R_0402_1005Metric,118.7500mm,-100.0000mm,90.0,top
R26,470R,R_0402_1005Metric,121.2900mm,-105.0000mm,90.0,top
R27,470R,R_0402_1005Metric,123.8300mm,-110.0000mm,90.0,top
R28,470R,R_0402_1005Metric,126.3700mm,-100.0000mm,90.0,top
R29,470R,R_0402_1005Metric,128.9100mm,-105.0000mm,90.0,top
R30,470R,R_0402_1005Metric,131.4500mm,-110.0000mm,90.0,top
R31,470R,R_0402_1005Metric,133.9900mm,-100.0000mm,90.0,top
R32,470R,R_0402_1005Metric,136.5300mm,-105.0000mm,90.0,top
R33,470R,R_0402_1005Metric,139.0700mm,-110.0000mm,90.0,top
R34,470R,R_0402_1005Metric,141.6100mm,-100.0000mm,90.0,top
R35,470R,R_0402_1005Metric,144.1500mm,-105.0000mm,90.0,top
R36,470R,R_0402_1005Metric,146.6900mm,-110.0000mm,90.0,top
R37,470R,R_0402_1005Metric,149.2300mm,-100.0000mm,90.0,top
R38,470R,R_0402_1005Metric,151.7700mm,-105.0000mm,90.0,top
R39,470R,R_0402_1005Metric,154.3100mm,-110.0000mm,90.0,top
R40,470R,R_0402_1005Metric,154.3100mm,-100.0000mm,90.0,top
U1,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,55.0000mm,-35.0000mm,270.0,top
U2,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,55.0000mm,-55.0000mm,270.0,top
U3,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,55.0000mm,-75.0000mm,270.0,top
U4,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,120.0000mm,-35.0000mm,270.0,top
U5,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,120.0000mm,-55.0000mm,270.0,top
