Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,30.0000mm,-42.0000mm,0.0,top
C2,100nF,C_0402_1005Metric,30.0000mm,-65.0000mm,0.0,top
C3,100nF,C_0402_1005Metric,15.0000mm,-38.0000mm,0.0,top
C4,100nF,C_0402_1005Metric,15.0000mm,-55.0000mm,0.0,top
C5,100nF,C_0402_1005Metric,15.0000mm,-72.0000mm,0.0,top
C6,100nF,C_0402_1005Metric,148.0000mm,-30.0000mm,0.0,top
C7,100nF,C_0402_1005Metric,148.0000mm,-47.0000mm,0.0,top
C8,100nF,C_0402_1005Metric,148.0000mm,-64.0000mm,0.0,top
C9,100nF,C_0402_1005Metric,148.0000mm,-81.0000mm,0.0,top
C10,100nF,C_0402_1005Metric,133.0000mm,-50.0000mm,0.0,top
C11,10uF,C_0805_2012Metric,8.0000mm,-110.0000mm,0.0,top
J1,FPGA_U2,PinSocket_2x32_P2.54mm_Vertical,57.0000mm,-7.0000mm,0.0,top
J2,TO_CHA,PinHeader_2x40_P2.54mm_Vertical,87.0000mm,-7.0000mm,0.0,top
J3,FPGA_U1,PinSocket_2x32_P2.54mm_Vertical,118.0000mm,-7.0000mm,0.0,top
J4,microSD,microSD_HC_Molex_47219-2001,15.0000mm,-10.0000mm,0.0,top
R1,470R,R_0402_1005Metric,22.2300mm,-98.0000mm,90.0,top
R2,470R,R_0402_1005Metric,24.7700mm,-102.0000mm,90.0,top
R3,470R,R_0402_1005Metric,27.3100mm,-106.0000mm,90.0,top
R4,470R,R_0402_1005Metric,29.8500mm,-110.0000mm,90.0,top
R5,470R,R_0402_1005Metric,32.3900mm,-98.0000mm,90.0,top
R6,470R,R_0402_1005Metric,34.9300mm,-102.0000mm,90.0,top
R7,470R,R_0402_1005Metric,37.4700mm,-106.0000mm,90.0,top
R8,470R,R_0402_1005Metric,40.0100mm,-110.0000mm,90.0,top
R9,470R,R_0402_1005Metric,42.5500mm,-98.0000mm,90.0,top
R10,470R,R_0402_1005Metric,45.0900mm,-102.0000mm,90.0,top
R11,470R,R_0402_1005Metric,47.6300mm,-106.0000mm,90.0,top
R12,470R,R_0402_1005Metric,50.1700mm,-110.0000mm,90.0,top
R13,470R,R_0402_1005Metric,52.7100mm,-98.0000mm,90.0,top
R14,470R,R_0402_1005Metric,55.2500mm,-102.0000mm,90.0,top
R15,470R,R_0402_1005Metric,57.7900mm,-106.0000mm,90.0,top
R16,470R,R_0402_1005Metric,60.3300mm,-110.0000mm,90.0,top
R17,470R,R_0402_1005Metric,62.8700mm,-98.0000mm,90.0,top
R18,470R,R_0402_1005Metric,65.4100mm,-106.0000mm,90.0,top
R19,470R,R_0402_1005Metric,67.9500mm,-98.0000mm,90.0,top
R20,470R,R_0402_1005Metric,62.8700mm,-102.0000mm,90.0,top
R21,470R,R_0402_1005Metric,65.4100mm,-110.0000mm,90.0,top
R22,470R,R_0402_1005Metric,67.9500mm,-102.0000mm,90.0,top
R23,470R,R_0402_1005Metric,70.4900mm,-106.0000mm,90.0,top
R24,470R,R_0402_1005Metric,96.0000mm,-98.0000mm,90.0,top
R25,470R,R_0402_1005Metric,70.4900mm,-110.0000mm,90.0,top
R26,470R,R_0402_1005Metric,98.4300mm,-102.0000mm,90.0,top
R27,470R,R_0402_1005Metric,131.4500mm,-102.0000mm,90.0,top
R28,470R,R_0402_1005Metric,133.9900mm,-110.0000mm,90.0,top
R29,470R,R_0402_1005Metric,136.5300mm,-102.0000mm,90.0,top
R30,470R,R_0402_1005Metric,139.0700mm,-110.0000mm,90.0,top
R31,470R,R_0402_1005Metric,141.6100mm,-102.0000mm,90.0,top
R32,470R,R_0402_1005Metric,144.1500mm,-110.0000mm,90.0,top
R33,470R,R_0402_1005Metric,146.6900mm,-102.0000mm,90.0,top
R34,470R,R_0402_1005Metric,149.2300mm,-110.0000mm,90.0,top
R35,470R,R_0402_1005Metric,128.9100mm,-98.0000mm,90.0,top
R36,470R,R_0402_1005Metric,131.4500mm,-106.0000mm,90.0,top
R37,470R,R_0402_1005Metric,133.9900mm,-98.0000mm,90.0,top
R38,470R,R_0402_1005Metric,136.5300mm,-106.0000mm,90.0,top
R39,470R,R_0402_1005Metric,139.0700mm,-98.0000mm,90.0,top
R40,470R,R_0402_1005Metric,141.6100mm,-106.0000mm,90.0,top
R41,470R,R_0402_1005Metric,144.1500mm,-98.0000mm,90.0,top
R42,470R,R_0402_1005Metric,146.6900mm,-106.0000mm,90.0,top
R43,470R,R_0402_1005Metric,149.2300mm,-98.0000mm,90.0,top
R44,470R,R_0402_1005Metric,151.7700mm,-102.0000mm,90.0,top
R45,470R,R_0402_1005Metric,154.3100mm,-110.0000mm,90.0,top
R46,470R,R_0402_1005Metric,154.3100mm,-98.0000mm,90.0,top
R47,470R,R_0402_1005Metric,113.7000mm,-106.0000mm,90.0,top
R48,470R,R_0402_1005Metric,118.7500mm,-98.0000mm,90.0,top
R49,470R,R_0402_1005Metric,121.2900mm,-102.0000mm,90.0,top
R50,470R,R_0402_1005Metric,123.8300mm,-106.0000mm,90.0,top
R51,470R,R_0402_1005Metric,126.3700mm,-110.0000mm,90.0,top
R52,470R,R_0402_1005Metric,113.7000mm,-110.0000mm,90.0,top
R53,470R,R_0402_1005Metric,151.7700mm,-106.0000mm,90.0,top
U1,74LVC245,SOIC-20W_7.5x12.8mm_P1.27mm,38.0000mm,-42.0000mm,270.0,top
U2,74LVC245,SOIC-20W_7.5x12.8mm_P1.27mm,38.0000mm,-65.0000mm,270.0,top
U3,74LVC245,SOIC-20W_7.5x12.8mm_P1.27mm,140.0000mm,-50.0000mm,270.0,top
U4,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,22.0000mm,-38.0000mm,270.0,top
U5,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,22.0000mm,-55.0000mm,270.0,top
U6,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,22.0000mm,-72.0000mm,270.0,top
U7,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,155.0000mm,-30.0000mm,270.0,top
U8,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,155.0000mm,-47.0000mm,270.0,top
U9,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,155.0000mm,-64.0000mm,270.0,top
U10,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,155.0000mm,-81.0000mm,270.0,top
